"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US06390","ZCTA5 06390","72","43",
"860Z200US10001","ZCTA5 10001","30511","1797",
"860Z200US10002","ZCTA5 10002","76873","3494",
"860Z200US10003","ZCTA5 10003","53560","2107",
"860Z200US10004","ZCTA5 10004","3711","909",
"860Z200US10005","ZCTA5 10005","9439","1107",
"860Z200US10006","ZCTA5 10006","4096","796",
"860Z200US10007","ZCTA5 10007","7406","1151",
"860Z200US10009","ZCTA5 10009","60209","3423",
"860Z200US10010","ZCTA5 10010","30702","2567",
"860Z200US10011","ZCTA5 10011","48277","2621",
"860Z200US10012","ZCTA5 10012","21426","1506",
"860Z200US10013","ZCTA5 10013","27219","1966",
"860Z200US10014","ZCTA5 10014","29230","1737",
"860Z200US10016","ZCTA5 10016","52971","2942",
"860Z200US10017","ZCTA5 10017","15297","1695",
"860Z200US10018","ZCTA5 10018","8559","1139",
"860Z200US10019","ZCTA5 10019","44942","2734",
"860Z200US10020","ZCTA5 10020","0","14",
"860Z200US10021","ZCTA5 10021","39868","2869",
"860Z200US10022","ZCTA5 10022","34049","2867",
"860Z200US10023","ZCTA5 10023","69455","3095",
"860Z200US10024","ZCTA5 10024","63115","4275",
"860Z200US10025","ZCTA5 10025","93065","4601",
"860Z200US10026","ZCTA5 10026","37123","2574",
"860Z200US10027","ZCTA5 10027","63885","3153",
"860Z200US10028","ZCTA5 10028","49077","3329",
"860Z200US10029","ZCTA5 10029","77447","3887",
"860Z200US10030","ZCTA5 10030","29297","2352",
"860Z200US10031","ZCTA5 10031","61058","3098",
"860Z200US10032","ZCTA5 10032","55610","2915",
"860Z200US10033","ZCTA5 10033","54838","3412",
"860Z200US10034","ZCTA5 10034","37758","3147",
"860Z200US10035","ZCTA5 10035","38862","2243",
"860Z200US10036","ZCTA5 10036","31036","2192",
"860Z200US10037","ZCTA5 10037","19031","1693",
"860Z200US10038","ZCTA5 10038","22235","2453",
"860Z200US10039","ZCTA5 10039","32492","2465",
"860Z200US10040","ZCTA5 10040","40096","3043",
"860Z200US10044","ZCTA5 10044","11520","992",
"860Z200US10065","ZCTA5 10065","30808","2221",
"860Z200US10069","ZCTA5 10069","6509","1758",
"860Z200US10075","ZCTA5 10075","21897","2532",
"860Z200US10103","ZCTA5 10103","0","14",
"860Z200US10110","ZCTA5 10110","0","14",
"860Z200US10111","ZCTA5 10111","0","14",
"860Z200US10112","ZCTA5 10112","0","14",
"860Z200US10115","ZCTA5 10115","0","14",
"860Z200US10119","ZCTA5 10119","0","14",
"860Z200US10128","ZCTA5 10128","57976","3236",
"860Z200US10152","ZCTA5 10152","7","12",
"860Z200US10153","ZCTA5 10153","0","14",
"860Z200US10154","ZCTA5 10154","0","14",
"860Z200US10162","ZCTA5 10162","1603","691",
"860Z200US10165","ZCTA5 10165","0","14",
"860Z200US10167","ZCTA5 10167","0","14",
"860Z200US10168","ZCTA5 10168","0","14",
"860Z200US10169","ZCTA5 10169","0","14",
"860Z200US10170","ZCTA5 10170","0","14",
"860Z200US10171","ZCTA5 10171","0","14",
"860Z200US10172","ZCTA5 10172","0","14",
"860Z200US10173","ZCTA5 10173","0","14",
"860Z200US10174","ZCTA5 10174","0","14",
"860Z200US10177","ZCTA5 10177","0","14",
"860Z200US10199","ZCTA5 10199","0","14",
"860Z200US10271","ZCTA5 10271","0","14",
"860Z200US10278","ZCTA5 10278","0","14",
"860Z200US10279","ZCTA5 10279","259","263",
"860Z200US10280","ZCTA5 10280","8933","1579",
"860Z200US10282","ZCTA5 10282","5887","1028",
"860Z200US10301","ZCTA5 10301","41052","2237",
"860Z200US10302","ZCTA5 10302","19030","1956",
"860Z200US10303","ZCTA5 10303","26497","1850",
"860Z200US10304","ZCTA5 10304","45658","2387",
"860Z200US10305","ZCTA5 10305","41270","2118",
"860Z200US10306","ZCTA5 10306","57428","3061",
"860Z200US10307","ZCTA5 10307","15512","1452",
"860Z200US10308","ZCTA5 10308","30568","2183",
"860Z200US10309","ZCTA5 10309","34885","2320",
"860Z200US10310","ZCTA5 10310","25672","1824",
"860Z200US10311","ZCTA5 10311","0","14",
"860Z200US10312","ZCTA5 10312","63469","2359",
"860Z200US10314","ZCTA5 10314","93915","3209",
"860Z200US10451","ZCTA5 10451","50942","2792",
"860Z200US10452","ZCTA5 10452","75682","3605",
"860Z200US10453","ZCTA5 10453","76282","3350",
"860Z200US10454","ZCTA5 10454","39570","2157",
"860Z200US10455","ZCTA5 10455","44801","3458",
"860Z200US10456","ZCTA5 10456","87533","4170",
"860Z200US10457","ZCTA5 10457","79543","3888",
"860Z200US10458","ZCTA5 10458","74898","3716",
"860Z200US10459","ZCTA5 10459","48270","2809",
"860Z200US10460","ZCTA5 10460","59396","2863",
"860Z200US10461","ZCTA5 10461","52012","2015",
"860Z200US10462","ZCTA5 10462","76320","3175",
"860Z200US10463","ZCTA5 10463","69470","3020",
"860Z200US10464","ZCTA5 10464","3828","753",
"860Z200US10465","ZCTA5 10465","45404","2165",
"860Z200US10466","ZCTA5 10466","71116","3626",
"860Z200US10467","ZCTA5 10467","96421","3574",
"860Z200US10468","ZCTA5 10468","75557","3861",
"860Z200US10469","ZCTA5 10469","68521","3103",
"860Z200US10470","ZCTA5 10470","16004","1277",
"860Z200US10471","ZCTA5 10471","23798","1414",
"860Z200US10472","ZCTA5 10472","64011","2926",
"860Z200US10473","ZCTA5 10473","58855","2836",
"860Z200US10474","ZCTA5 10474","11270","1375",
"860Z200US10475","ZCTA5 10475","42578","3278",
"860Z200US10501","ZCTA5 10501","1727","602",
"860Z200US10502","ZCTA5 10502","6197","375",
"860Z200US10503","ZCTA5 10503","132","96",
"860Z200US10504","ZCTA5 10504","7665","519",
"860Z200US10505","ZCTA5 10505","1119","294",
"860Z200US10506","ZCTA5 10506","6244","752",
"860Z200US10507","ZCTA5 10507","6109","839",
"860Z200US10509","ZCTA5 10509","20046","778",
"860Z200US10510","ZCTA5 10510","10226","642",
"860Z200US10511","ZCTA5 10511","2397","394",
"860Z200US10512","ZCTA5 10512","24234","1081",
"860Z200US10514","ZCTA5 10514","11790","1069",
"860Z200US10516","ZCTA5 10516","5362","341",
"860Z200US10517","ZCTA5 10517","584","213",
"860Z200US10518","ZCTA5 10518","992","408",
"860Z200US10519","ZCTA5 10519","99","93",
"860Z200US10520","ZCTA5 10520","12368","474",
"860Z200US10522","ZCTA5 10522","11502","54",
"860Z200US10523","ZCTA5 10523","9450","598",
"860Z200US10524","ZCTA5 10524","4578","326",
"860Z200US10526","ZCTA5 10526","2128","437",
"860Z200US10527","ZCTA5 10527","418","209",
"860Z200US10528","ZCTA5 10528","14091","1031",
"860Z200US10530","ZCTA5 10530","13892","1208",
"860Z200US10532","ZCTA5 10532","5347","477",
"860Z200US10533","ZCTA5 10533","7362","315",
"860Z200US10535","ZCTA5 10535","392","198",
"860Z200US10536","ZCTA5 10536","10669","1093",
"860Z200US10537","ZCTA5 10537","2439","661",
"860Z200US10538","ZCTA5 10538","17760","591",
"860Z200US10540","ZCTA5 10540","108","12",
"860Z200US10541","ZCTA5 10541","26361","1052",
"860Z200US10542","ZCTA5 10542","0","14",
"860Z200US10543","ZCTA5 10543","20989","559",
"860Z200US10545","ZCTA5 10545","185","138",
"860Z200US10546","ZCTA5 10546","1392","362",
"860Z200US10547","ZCTA5 10547","7205","1042",
"860Z200US10548","ZCTA5 10548","4254","757",
"860Z200US10549","ZCTA5 10549","16135","1047",
"860Z200US10550","ZCTA5 10550","38972","1955",
"860Z200US10552","ZCTA5 10552","22341","1577",
"860Z200US10553","ZCTA5 10553","11011","1708",
"860Z200US10560","ZCTA5 10560","4918","184",
"860Z200US10562","ZCTA5 10562","33793","923",
"860Z200US10566","ZCTA5 10566","25625","32",
"860Z200US10567","ZCTA5 10567","19976","1149",
"860Z200US10570","ZCTA5 10570","13289","582",
"860Z200US10573","ZCTA5 10573","40786","260",
"860Z200US10576","ZCTA5 10576","4891","263",
"860Z200US10577","ZCTA5 10577","5945","554",
"860Z200US10578","ZCTA5 10578","1780","1174",
"860Z200US10579","ZCTA5 10579","9019","579",
"860Z200US10580","ZCTA5 10580","18391","498",
"860Z200US10583","ZCTA5 10583","40207","1423",
"860Z200US10588","ZCTA5 10588","2783","750",
"860Z200US10589","ZCTA5 10589","7604","730",
"860Z200US10590","ZCTA5 10590","6989","619",
"860Z200US10591","ZCTA5 10591","23926","561",
"860Z200US10594","ZCTA5 10594","5110","868",
"860Z200US10595","ZCTA5 10595","7243","589",
"860Z200US10596","ZCTA5 10596","650","219",
"860Z200US10597","ZCTA5 10597","679","322",
"860Z200US10598","ZCTA5 10598","28821","1027",
"860Z200US10601","ZCTA5 10601","11930","1046",
"860Z200US10603","ZCTA5 10603","18910","1832",
"860Z200US10604","ZCTA5 10604","12517","1297",
"860Z200US10605","ZCTA5 10605","19493","1313",
"860Z200US10606","ZCTA5 10606","17341","1492",
"860Z200US10607","ZCTA5 10607","6466","874",
"860Z200US10701","ZCTA5 10701","70676","3118",
"860Z200US10703","ZCTA5 10703","22586","2142",
"860Z200US10704","ZCTA5 10704","31921","2048",
"860Z200US10705","ZCTA5 10705","38887","2360",
"860Z200US10706","ZCTA5 10706","9183","337",
"860Z200US10707","ZCTA5 10707","9688","503",
"860Z200US10708","ZCTA5 10708","22482","1382",
"860Z200US10709","ZCTA5 10709","10352","785",
"860Z200US10710","ZCTA5 10710","25855","1788",
"860Z200US10801","ZCTA5 10801","42754","1856",
