session_id,station_id,session_date,kwh_delivered,duration_minutes,revenue_usd
1,114937,2025-07-09,72.12,90,10.2
2,255093,2025-06-07,47.3,119,27.01
3,318020,2025-03-17,5.44,47,14.94
4,253697,2025-02-21,94.86,27,11.05
5,384388,2025-08-14,4.33,156,26.95
6,372116,2025-04-04,100.0,176,27.3
7,190055,2025-10-19,46.54,40,38.39
8,114891,2025-10-18,60.94,138,35.14
9,234635,2025-11-18,3.76,22,8.79
10,236731,2025-06-27,8.98,106,23.8
11,457942,2025-04-16,30.27,116,10.17
12,390635,2025-03-17,17.59,149,17.79
13,182282,2025-01-04,8.62,66,9.93
14,223228,2025-11-07,29.72,107,20.79
15,114995,2025-07-06,37.81,108,14.71
16,358717,2025-01-20,8.4,76,29.6
17,189518,2025-10-02,2.24,123,10.02
18,357643,2025-05-16,21.35,174,29.2
19,115202,2025-01-27,12.63,68,21.61
20,114936,2025-05-16,52.55,120,4.4
21,376625,2025-01-18,1.15,122,26.55
22,169976,2025-10-12,25.4,52,19.48
23,356924,2025-10-29,1.22,32,18.91
24,395332,2025-05-18,3.0,83,18.64
25,185740,2025-08-20,11.5,74,5.2
26,190452,2025-12-06,6.49,56,10.08
27,149087,2025-09-14,4.41,178,33.5
28,453519,2025-08-07,39.39,92,34.75
29,169880,2025-05-12,6.61,88,27.66
30,389679,2025-12-23,11.34,118,10.53
31,223123,2025-09-13,59.62,170,28.37
32,190462,2025-04-06,38.49,54,16.51
33,346977,2025-10-01,18.56,24,28.47
34,223300,2025-11-30,2.47,141,31.79
35,102325,2025-10-28,72.72,163,27.99
36,181841,2025-01-15,30.87,145,21.18
37,148164,2025-06-28,1.0,154,34.59
38,220945,2025-09-17,74.31,40,17.22
39,324885,2025-03-29,1.86,41,16.42
40,120972,2025-04-04,23.1,24,10.78
41,435001,2025-11-29,12.52,52,32.68
42,115096,2025-01-28,98.94,91,16.47
43,162348,2025-07-04,64.12,169,3.76
44,357265,2025-03-16,22.83,131,30.49
45,227772,2025-02-23,30.2,78,36.21
46,224248,2025-11-17,43.1,22,33.1
47,452580,2025-02-16,42.91,118,12.35
